"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Slc7a11",4.050256,10.537552,36.2248542394691,3.1411724450719e-15,4.26337036333234e-11,24.1740956055093
"Zc3h12c",4.204336,8.198872,35.7032770015332,3.83983640757663e-15,4.26337036333234e-11,24.0229654198851
"Car13",3.517598,8.627761,33.045452699863,1.11967913058618e-14,8.28786492459892e-11,23.1964503308388
"Irg1",3.989486,8.609357,31.4890502950691,2.18035624912192e-14,1.21042477170003e-10,22.6644745224502
"Met",4.603762,7.367895,30.5815169858585,3.26436192098746e-14,1.27616560602406e-10,22.336196640505
"Il1a",2.6355,11.65677,30.2516991279237,3.79098200429784e-14,1.27616560602406e-10,22.2134008783959
"Inhba",4.509136,9.123732,29.8705938630614,4.51510735684382e-14,1.27616560602406e-10,22.0691128744217
"Clec4e",2.869132,11.221034,29.8314105241085,4.59755239493492e-14,1.27616560602406e-10,22.0541298954078
"H2-M2",3.613838,9.515641,27.5962760459347,1.34347927526432e-13,3.31481119850217e-10,21.1510892461432
"Aoah",3.13186,9.81205,26.9630323454237,1.84848162555921e-13,4.10473829771678e-10,20.8768346402603
"Ccl9",2.8011,10.89325,26.2167359252824,2.71786960795865e-13,5.30407066012062e-10,20.5423171218205
"Esd",1.963492,11.107534,26.1153728596238,2.86629054856559e-13,5.30407066012062e-10,20.4959071684028
"Tarm1",3.50656,9.74114,25.5889651110367,3.79005630381319e-13,6.47399925249814e-10,20.2510150648684
"Lcn2",5.499874,9.491963,24.9829915950889,5.26397981343123e-13,8.34942398121814e-10,19.9608320904476
"Nfkb2",1.818352,10.551604,24.6516294976958,6.32032347617673e-13,9.35660687413204e-10,19.7982746273116
"AA467197",3.673944,10.255468,24.496956552363,6.88912492672269e-13,9.56124425767526e-10,19.7214327775778
"Ccl4",2.504186,9.027065,22.9272762717942,1.70327214900686e-12,2.22487419652038e-09,18.9051228768166
"Slc7a2",2.059332,11.182634,22.6090589090703,2.06110147996958e-12,2.54271219245581e-09,18.7311119630945
"Tnfaip3",3.127358,10.577181,22.4329747445988,2.29299008801294e-12,2.67990199444291e-09,18.6335232560049
"Cxcl1",2.574362,8.139037,21.9027440731089,3.17645757167854e-12,3.52682084183468e-09,18.3339139685345
"Anpep",3.859824,10.752128,21.6294940166713,3.7684036792149e-12,3.98481771907838e-09,18.1760560587283
"Gadd45a",1.644636,9.412582,21.542699680885,3.98030466747703e-12,4.01757479299977e-09,18.1254108368725
"Cxcl3",3.223622,10.320549,21.2436729849881,4.81359590994162e-12,4.64742220765928e-09,17.9490335647967
"Wfdc17",2.587416,11.444672,20.7841336477096,6.47885395636631e-12,5.99455962312793e-09,17.6721287119728
"Plk2",2.33081,8.078919,20.698136304034,6.8539747236297e-12,6.08797450851685e-09,17.6195034820655
"Ppap2a",2.41417,10.482035,20.6137537733955,7.24470753904636e-12,6.1875375235409e-09,17.5676151944346
"Irak3",1.52418,11.31079,20.5138246505916,7.7384781459767e-12,6.36446835961328e-09,17.5058427820192
"Ptges",2.262154,10.388503,20.3636321203039,8.54950081760921e-12,6.78036482699393e-09,17.4123318915898
"Acsl1",2.32289,10.314875,20.2652041024924,9.12999260902987e-12,6.99105571986612e-09,17.350610852547
"Ptgs2",3.932804,8.189932,20.2029711157704,9.51866465784496e-12,7.04571557973684e-09,17.311405584498
"Marco",1.77612,11.72814,19.8241594255868,1.23005768469987e-11,8.81118095046625e-09,17.0696931117176
"Smpdl3b",1.931968,10.790396,19.6809933403189,1.35683685304791e-11,9.41559973711932e-09,16.9769453270084
"Il6",5.255312,7.377712,19.5908331413994,1.44379544317462e-11,9.71543079125319e-09,16.9181365710413
"Sod2",2.398888,10.511256,19.5243157881945,1.51176284996906e-11,9.87358995482734e-09,16.8745494694158
"Mnda",2.354874,8.360721,19.4080698596091,1.63889204614129e-11,1.0398067650461e-08,16.7979658831106
"Gng12",1.726592,10.868404,18.7577734486556,2.59659268832219e-11,1.57714338383979e-08,16.3596744123341
"Acp5",1.77256,11.74896,18.7164001019961,2.67507485408751e-11,1.57714338383979e-08,16.3312090023403
"Il1f9",2.079244,7.775006,18.7041040627394,2.69888537268811e-11,1.57714338383979e-08,16.322735502414
"Pdpn",2.090872,10.265764,18.6238074962204,2.86005309129362e-11,1.6284702293658e-08,16.2672466460391
"Jag1",1.790736,9.406732,18.4426535302469,3.26268691151493e-11,1.81128063892751e-08,16.1410678344439
"Clec4d",2.685214,10.636053,18.2187317735763,3.84595752581778e-11,2.01606330071839e-08,15.9831712650849
"Il7r",2.354128,8.36163,18.2118423705752,3.86558291796478e-11,2.01606330071839e-08,15.9782790237976
"Acot1",-1.697474,8.882077,-18.1984872154204,3.90393235751108e-11,2.01606330071839e-08,15.9687895161882
"Pmp22",3.217362,8.859119,18.1027459953522,4.19104825857903e-11,2.11514585522741e-08,15.9005332286159
"Adora2b",3.123188,9.714726,17.8554520826306,5.04233307105947e-11,2.45686923730716e-08,15.7223646131619
"Nrp2",1.47944,11.69992,17.8431005341907,5.08943460849002e-11,2.45686923730716e-08,15.713394313824
"Slc31a2",1.649178,9.745811,17.7893677280875,5.29988034326668e-11,2.50402431707617e-08,15.6742911648515
"Rab20",1.508434,9.271211,17.6215217079773,6.01934804980614e-11,2.78470089154157e-08,15.5513026516354
"Hp",2.430314,8.419791,17.1510584862034,8.65214439358687e-11,3.92101057967327e-08,15.1996304276689
"Cfb",2.496228,11.563306,16.9261653553017,1.03240832706922e-10,4.58513186217983e-08,15.0278078784257
"Gadd45b",2.49782,10.21777,16.8827663980695,1.06847710666478e-10,4.65227502560748e-08,14.9943671695928
"Ypel3",-1.822072,10.821984,-16.8530613747185,1.09393951069739e-10,4.67154245664351e-08,14.9714249067061
"Cxcl16",1.67693,11.178675,16.7180448910061,1.21812144704528e-10,5.10369902888444e-08,14.8665972437236
"Ehd1",1.431182,10.407489,16.6454936392155,1.2909978779131e-10,5.308870162396e-08,14.8098930195865
"Il1b",1.91676,11.67306,16.609887887716,1.32845437994643e-10,5.3635741747437e-08,14.7819678221543
"Pid1",1.63196,9.012754,16.5770059660193,1.36407761919135e-10,5.40905493067199e-08,14.7561221212756
"Clmn",-1.2188,10.66256,-16.4608958622288,1.49825857581105e-10,5.74607948356806e-08,14.6644190374295
"Cpne5",-2.04744,9.51702,-16.458786946057,1.5008223455235e-10,5.74607948356806e-08,14.6627470736446
"Creb3l1",3.191146,8.628227,16.4150711164456,1.55503585392918e-10,5.85273324955108e-08,14.6280375266902
"Cpd",2.148596,9.143962,16.2896627240192,1.72249565291991e-10,6.35767952728288e-08,14.5279191632456
"Mfsd7c",-1.539376,10.279692,-16.272789183895,1.74645794453866e-10,6.35767952728288e-08,14.5143861313542
"Fcgrt",-1.563866,10.141407,-16.2456466165473,1.78575342561368e-10,6.38443150346208e-08,14.4925859227287
"Mmp14",3.931308,8.870448,16.228335027683,1.81130858649965e-10,6.38443150346208e-08,14.4786616017964
"Rgs2",-1.544976,10.583892,-16.1844345192978,1.87788137049216e-10,6.51566151767953e-08,14.4432804847404
"Gch1",1.534192,9.760204,16.0853692084225,2.03790354171083e-10,6.96210554572778e-08,14.3630669624676
"Arg2",2.12226,7.155914,16.035025932627,2.12474997810051e-10,7.14881788086362e-08,14.3221044992235
"Itga5",1.2668,10.86592,15.9385605798872,2.30239931716553e-10,7.57249591732403e-08,14.2432358199721
"Rilpl2",1.03196,10.59322,15.9183233155424,2.3416431526813e-10,7.57249591732403e-08,14.2266266718755
"Dcbld2",2.44193,7.531929,15.9125456957461,2.352977656018e-10,7.57249591732403e-08,14.2218808032069
"Saa3",3.010434,9.215407,15.8546904089711,2.46976349164017e-10,7.83479544219451e-08,14.1742575588162
"Agtrap",1.705004,9.820998,15.8117916744986,2.56034859602733e-10,7.83792815666697e-08,14.1388283723502
"Slc11a2",1.395524,9.555678,15.8093257814364,2.56566228341972e-10,7.83792815666697e-08,14.1367887943363
"L1cam",-1.714382,10.135969,-15.8042484790842,2.57664034691835e-10,7.83792815666697e-08,14.1325882344935
"Ptprj",2.040074,10.594723,15.780980546703,2.6275954393863e-10,7.8849168009476e-08,14.1133201648906
"Igsf6",1.568162,10.252479,15.75342930995,2.68932572930479e-10,7.96255561932562e-08,14.090466792365
"Nampt",1.866192,9.190064,15.6030442209596,3.05472399588541e-10,8.92542119113572e-08,13.9649871387234
"Mapkapk2",1.1455,11.78913,15.5066693353415,3.31651532839773e-10,9.56448563407791e-08,13.8839116740128
"Ccrl2",1.49685,9.357787,15.3056557157081,3.9428398999156e-10,1.12249618996828e-07,13.7131210424736
"Ch25h",2.218906,11.404967,15.2793792367033,4.03361978796719e-10,1.13380456976708e-07,13.6906248296435
"Tgif1",1.219306,9.897107,15.0590010642993,4.88888170105686e-10,1.35703133817086e-07,13.5003758529927
"Cd244",-1.59202,9.72011,-14.9824959592861,5.22946169782996e-10,1.42548471557529e-07,13.4336645395054
"Nrip1",-1.058462,8.730119,-14.9711380097265,5.28214597402578e-10,1.42548471557529e-07,13.423731017336
"Clcn7",1.848262,9.798669,14.9613346293875,5.32807490735608e-10,1.42548471557529e-07,13.4151509366742
"Anxa4",1.04976,11.3319,14.9307092986738,5.47432146799422e-10,1.42794761249901e-07,13.3883102769248
"Rufy4",-1.159724,9.804678,-14.9207578778274,5.5227605398068e-10,1.42794761249901e-07,13.379576606917
"Adora2a",1.09896,8.91962,14.8865470877851,5.69280363685514e-10,1.42794761249901e-07,13.3495069980305
"Gdpd1",2.8459,8.661336,14.8833634626861,5.70890951450238e-10,1.42794761249901e-07,13.3467051817433
"Cav1",1.660494,7.712527,14.8778302307952,5.73701782230746e-10,1.42794761249901e-07,13.3418340977405
"Dcstamp",1.578258,7.492623,14.8727370389814,5.76302134543072e-10,1.42794761249901e-07,13.3373487710756
"C5ar1",-0.977386,8.654563,-14.8679818712217,5.78741264184956e-10,1.42794761249901e-07,13.3331597196061
"Snrk",-1.28001,9.295117,-14.8512179442313,5.87428473338397e-10,1.43345458010466e-07,13.3183807439515
"Vamp1",-1.209478,9.113389,-14.8313173365724,5.97922181482654e-10,1.44320216978302e-07,13.3008145290229
"Ramp1",-1.3463,9.72157,-14.7548537217458,6.40141508574643e-10,1.51968007887166e-07,13.2330976481319
"Cyfip2",2.614392,7.865762,14.7415774235983,6.47790723306715e-10,1.51968007887166e-07,13.2213038983415
"Icam1",1.6563,11.11219,14.7375372021321,6.50137834336702e-10,1.51968007887166e-07,13.2177127145324
"Fam20c",2.390072,8.238594,14.6364474254826,7.11919478234077e-10,1.6467587430902e-07,13.1275334909094
"Cidec",-1.269792,9.448694,-14.5459995816602,7.7252194772797e-10,1.76441919455518e-07,13.0463146042412
"Smarca2",-1.359066,10.425467,-14.5278819255086,7.85310282196044e-10,1.76441919455518e-07,13.0299846413744
"Hist1h4f",-1.436614,9.797213,-14.5128270941292,7.9610858005646e-10,1.76441919455518e-07,13.0163997442636
"Fmnl2",2.43004,8.43149,14.5052303543976,8.01617500723645e-10,1.76441919455518e-07,13.0095393760715
"Tifab",-1.504218,10.243971,-14.495278048194,8.08896237128543e-10,1.76441919455518e-07,13.0005463216901
