"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MPEG1",-4.27251608333333,10.755520375,-14.5398563989031,3.33218803986637e-08,0.00114122519495566,8.63258129337335
"OLFML2B",-5.92880003333333,7.22498923333333,-13.8042376183209,5.55665203503582e-08,0.00114122519495566,8.26082697786914
"THBD",-4.21044961666666,10.5052416916667,-11.0143447170747,4.97246244712174e-07,0.00253663877573037,6.53898996049939
"LIMS2",2.1873739,7.22460355,10.8756442729193,5.61297531321067e-07,0.00253663877573037,6.43821526480631
"FOS",-2.33961208333333,13.7175314583333,-10.7249749501855,6.41222137354374e-07,0.00253663877573037,6.32687738997918
"HPSE",-4.79578583333333,4.75185095,-10.7216087386411,6.4314378129959e-07,0.00253663877573037,6.32436740457825
"ZNRF1",-1.12824046666667,7.18742875,-10.6927003309167,6.59907112726923e-07,0.00253663877573037,6.3027712697917
"MAFB",-2.7945915,13.5278465833333,-10.5933695717215,7.21233800684914e-07,0.00253663877573037,6.22800486393156
"CD93",-5.7656337,6.29281298333333,-10.5421823375578,7.5523784958052e-07,0.00253663877573037,6.18913401732475
"P2RY6",-3.5375377,10.1110570666667,-10.474630587692,8.02811960378198e-07,0.00253663877573037,6.13747638815095
"TCF4",-1.739682,11.5489025,-10.1525000214629,1.0792951855151e-06,0.00295554193601454,5.88539180673773
"CAB39L",1.43565083333333,9.04806125,10.042720123059,1.19597010118151e-06,0.00307035424225823,5.79726126646382
"ADAM28",-2.20563248333333,8.75518584166667,-9.84316527459038,1.44478288010612e-06,0.00336551906326457,5.63408160760264
"CXCL10",-4.29228395,4.51325425833333,-9.76668934842786,1.55461770249126e-06,0.00336551906326457,5.57050892907885
"DLC1",1.92456291666667,9.01495095833333,9.74466826042414,1.58790457168193e-06,0.00336551906326457,5.55209528403618
"ZNF22",-1.43641675,9.10739679166667,-9.71202706786641,1.63867906478945e-06,0.00336551906326457,5.52471189502941
"RNASE1",-5.5428565,13.9825480833333,-9.5896747655923,1.84531248486081e-06,0.00340987903010902,5.42110993465119
"PFKFB2",-1.71792976666667,5.57456793333333,-9.56199317419171,1.89589049628197e-06,0.00340987903010902,5.39745892089719
"C20orf46",1.54241261666667,5.06435870833333,9.52858352495432,1.95895084052592e-06,0.00340987903010902,5.36880901262688
"MYO7A",-4.6658013,8.40275926666667,-9.51136722862249,1.99233364306691e-06,0.00340987903010902,5.35400050850379
"PTPMT1",1.20280783333334,14.0359525833333,9.4508413724295,2.11469382714701e-06,0.00347452654575562,5.30169562520224
"TSPAN32",1.9221855,9.74477591666667,9.40855400075353,2.20502080634206e-06,0.00348359364005025,5.26492536171709
"EXTL1",1.98084813333333,3.77872981666667,9.35552509883533,2.32426533055879e-06,0.00353598232289011,5.2185496333051
"NDUFS3",0.817005083333334,13.6592975416667,9.26389346120969,2.54716506850552e-06,0.00356817795986493,5.1377124786843
"GDPD1",-1.89677471666667,2.613899925,-9.19126099085499,2.74036000388667e-06,0.00356817795986493,5.07299820235785
"VASN",4.73016956666667,4.54901343333333,9.18387367555386,2.76088408980179e-06,0.00356817795986493,5.06638436462207
"NDST2",-1.21960083333333,10.4692394166667,-9.14673271257386,2.8666343527983e-06,0.00356817795986493,5.03304255188061
"WWC3",-1.38581303333333,8.37091798333333,-9.0678157771013,3.10623539129586e-06,0.00369808581958533,4.96169879192245
"TSKU",3.8720649,8.17841855,9.02480523702978,3.24591006923264e-06,0.00370358338899445,4.92252776490765
"CCL8",-6.03219275,7.161116125,-8.92456225138,3.59864720058811e-06,0.00396026526662179,4.83043683436882
